id,name,url,comment,muscle_group
1,Паучьи сгибания со штангой,https://cloud.mail.ru/public/jeCL/yV9f2bSFk,Оборудование: Штанга/Наклонная скамья | Статус: 🏋️,1
2,Сгибание рук со штангой проработка (статика в верней точке),https://cloud.mail.ru/public/PPpt/GxDjeWumX,Оборудование: Штанга | Статус: 🏠,1
3,Концентрированный подъем на  БИЦЕПС (С опорой в бедро сидя),https://cloud.mail.ru/public/iajo/jLXHKtUQX,Оборудование: Гантели | Статус: 🏠,1
4,Строгий подъем на бицепс,https://cloud.mail.ru/public/3gZb/4MDs44M4o,Оборудование: Штанга EZ | Статус: 🏠,1
5,Сгибание рук с гантелью с опорой плеча в наклонную скамью (разворот корпуса),https://cloud.mail.ru/public/VaF8/68zQ3QC2z,Оборудование: Гантель/Наклонная скамья | Статус: 🏋️,1
6,Сгибание рук с гантелями стоя с супинацией,https://cloud.mail.ru/public/kyqN/GgrhcCCY4,Оборудование: Гантели | Статус: 🏠,1
7,Сгибание рук в кроссовере с нижнего блока с канатной рукоятью,https://cloud.mail.ru/public/J9sL/nwGLci3uF,Оборудование: Кроссовер | Статус: 🏋️,1
8," Сгибание рук с гантелями сидя на откинутой скамье",https://cloud.mail.ru/public/so6K/ZsimQB4iG,Оборудование: Гантели | Статус: 🏋️,1
9,Сгибание рук с гантелями поочерёдно стоя с супинацией,https://cloud.mail.ru/public/PqyD/AKjLXmV7o,Оборудование: Гантели | Статус: 🏠,1
10,Сгибание рук с гантелями стоя обратным хватом,https://cloud.mail.ru/public/4KRU/YiwWVwV85,Оборудование: Гантели | Статус: 🏠,1
11,Сгибание рук с эсппандером,https://cloud.mail.ru/public/PX4M/BtPe7ZsG2,Оборудование: Эспандер | Статус: 🏠,1
12,Сгибание рук в кроссовере с нижнего блока с прямой рукоятью,https://cloud.mail.ru/public/kzWy/jsBMXjQiy,Оборудование: Кроссовер | Статус: 🏋️,1
13,Сгибание рук со штангой проработка ( верхняя амплитуда),https://cloud.mail.ru/public/cmEF/hMZjdQysd,Оборудование: Штанга | Статус: 🏠,1
14,Протяжка штанги вдоль корпуса,https://cloud.mail.ru/public/v6Sh/P38dGe1MQ,Оборудование: Штанга | Статус: 📹,1
15,Сгибание рук со штангой стоя с прямым грифом,https://cloud.mail.ru/public/xJxZ/TLyvxS7NQ,Оборудование: Штанга | Статус: 🏠,1
16,Концентрированный подъем на БИЦЕПС (без упора),https://cloud.mail.ru/public/ZYuA/XuBvU6Cot,Оборудование: Гантели | Статус: 🏠,1
17,Пуачьи сгибания с одной гантелью,https://cloud.mail.ru/public/v1oE/LqYDw7wcB,Оборудование: Гантели | Статус: 🏠,1
18,Сгибание рук на скамье Скотта прямой гриф - обратный хват,https://cloud.mail.ru/public/m5qa/BsX3XXck1,Оборудование: Штанга/скамья Скотта | Статус: 🏋️,1
19,Сгибание рук со штангой широким хватом,https://cloud.mail.ru/public/BaNe/oUVtNNg19,Оборудование: Штанга | Статус: 🏠,1
20,Сгибание рук в TRX ладони друг к другу,https://cloud.mail.ru/public/sVzA/y7QYHM81w,Оборудование: TRX | Статус: 📹,1
21,Сгибание рук со штангой стоя с EZ-грифом,https://cloud.mail.ru/public/ijQs/nss9FP5V3,Оборудование: Штанга EZ | Статус: 🏠,1
22,"Сгибание рук с гантелями сидя с супинацией ",https://cloud.mail.ru/public/Cimh/7jzBvgmwo,Оборудование: Гантели | Статус: 🏋️,1
23,Сгибание рук с гантелью с опорой плеча в наклонную скамью,https://cloud.mail.ru/public/Ag1W/FijQ1PSUM,Оборудование: Гантель/Наклонная скамья | Статус: 🏋️,1
